Season,UFO_shape
Winter,Cylinder
Autumn,Egg
Autumn,Light
Autumn,Sphere
Autumn,Other
Winter,Unknown
Autumn,Disk
Autumn,Fireball
Autumn,Triangle
Winter,Fireball
Winter,Circle
Winter,Disk
Winter,Flash
Winter,Changing
Winter,Rectangle
Winter,Unknown
Winter,Other
Spring,Triangle
Spring,Light
Spring,Flash
Spring,Egg
Summer,Other
Summer,Oval
Summer,Cross
Summer,Circle
Summer,Light
Summer,Other
Summer,Sphere
Summer,Disk
Autumn,Sphere
Winter,Circle
Summer,Fireball
Summer,Sphere
Spring,Disk
Autumn,Cylinder
Autumn,Cigar
Autumn,Circle
Autumn,Egg
Autumn,Unknown
Autumn,Circle
Autumn,Unknown
Autumn,Other
Autumn,Flash
Autumn,Disk
Autumn,Triangle
Autumn,Light
Autumn,Light
Autumn,Sphere
Autumn,Formation
Autumn,Sphere
Autumn,Circle
Autumn,Light
Autumn,Triangle
Autumn,Triangle
Autumn,Cigar
Autumn,Chevron
Autumn,Chevron
Autumn,Fireball
Winter,Cigar
Winter,Rectangle
Autumn,Circle
Winter,Circle
Winter,Chevron
Winter,Changing
Winter,Cylinder
Winter,Circle
Winter,Light
Winter,Circle
Winter,Sphere
Winter,Egg
Winter,Fireball
Winter,Circle
Winter,Circle
Winter,Fireball
Winter,Unknown
Winter,Diamond
Winter,Triangle
Winter,Cylinder
Winter,Triangle
Winter,Light
Winter,Triangle
Winter,Light
Spring,Sphere
Spring,Sphere
Spring,Light
Spring,Formation
Spring,Disk
Spring,Cylinder
Spring,Oval
Spring,Light
Spring,Diamond
Spring,Chevron
Spring,Circle
Spring,Oval
Spring,Teardrop
Spring,Triangle
Spring,Triangle
Spring,Triangle
Summer,Triangle
Summer,Light
Summer,Triangle
Summer,Fireball
Summer,Rectangle
Summer,Circle
Summer,Circle
Summer,Unknown
Summer,Other
Summer,Unknown
Summer,Circle
Summer,
Summer,Light
Summer,Circle
Summer,
Summer,Disk
Summer,Light
Summer,
Summer,Sphere
Summer,Changing
Summer,Other
Summer,Oval
Summer,Circle
Summer,Disk
Summer,Light
Summer,Flash
Summer,Unknown
Summer,Unknown
Summer,Light
Summer,Other
Summer,Circle
Summer,Unknown
Summer,Triangle
Summer,Flash
Summer,Light
Summer,Circle
Summer,Cigar
Summer,Oval
Autumn,Fireball
Autumn,
Autumn,Cigar
Autumn,Fireball
Autumn,Fireball
Autumn,Disk
Autumn,Unknown
Autumn,Light
Autumn,Circle
Autumn,Cigar
Autumn,Light
Winter,Formation
Autumn,Formation
Autumn,Disk
Winter,Triangle
Autumn,Circle
Summer,Triangle
Winter,Triangle
Winter,Light
Winter,Other
Spring,
Spring,Fireball
Summer,Formation
Summer,Circle
Summer,Circle
Spring,Circle
Autumn,Changing
Winter,Sphere
Summer,Triangle
Winter,Other
Summer,Circle
Summer,Fireball
Autumn,Diamond
Autumn,Changing
Autumn,Triangle
Autumn,Light
Autumn,Light
Autumn,Triangle
Autumn,Diamond
Autumn,Triangle
Autumn,Teardrop
Autumn,Triangle
Autumn,Unknown
Autumn,Disk
Autumn,Triangle
Autumn,Triangle
Autumn,Diamond
Autumn,Oval
Autumn,Light
Autumn,Diamond
Winter,Sphere
Winter,Formation
Winter,
Winter,Disk
Winter,Light
Winter,Other
Winter,Triangle
Winter,Disk
Winter,Cigar
Winter,Changing
Winter,Triangle
Winter,Sphere
Winter,Light
Winter,Triangle
Winter,Light
Winter,Light
Winter,Other
Winter,Light
Winter,Teardrop
Winter,Disk
Spring,Egg
Spring,Triangle
Spring,Circle
Spring,Teardrop
Spring,Unknown
Spring,Teardrop
Spring,Triangle
Spring,Unknown
Spring,Oval
Spring,Fireball
Spring,Light
Spring,Diamond
Spring,Cylinder
Spring,Formation
Spring,Formation
Spring,Other
Spring,
Spring,Cigar
Summer,Triangle
Summer,Light
Summer,Sphere
Summer,Unknown
Summer,Circle
Summer,Sphere
Summer,Other
Summer,Other
Summer,Fireball
Summer,Fireball
Summer,Disk
Summer,Disk
Summer,Cylinder
Summer,Circle
Summer,Light
Summer,Cigar
Summer,Circle
Summer,Disk
Summer,Light
Summer,Formation
Summer,Triangle
Summer,Triangle
Summer,Triangle
Summer,Light
Summer,Fireball
Summer,Triangle
Summer,Fireball
Summer,Triangle
Summer,
Autumn,Cigar
Autumn,Disk
Autumn,Light
Autumn,Other
Autumn,Unknown
Autumn,Diamond
Autumn,Chevron
Autumn,Triangle
Autumn,Sphere
Autumn,Sphere
Autumn,Formation
Autumn,Other
Autumn,Triangle
Autumn,Disk
Autumn,Sphere
Autumn,Circle
Winter,Unknown
Autumn,Light
Autumn,Oval
Spring,Changing
Autumn,Other
Autumn,Unknown
Winter,Fireball
Spring,Disk
Spring,Sphere
Summer,Light
Autumn,Unknown
Summer,Sphere
Autumn,Light
Winter,Circle
Autumn,Fireball
Autumn,Fireball
Spring,Disk
Autumn,Triangle
Summer,Other
Summer,Light
Winter,Oval
Winter,Light
Winter,Sphere
Winter,Flash
Spring,Light
Spring,
Spring,Cigar
Spring,
Summer,Sphere
Summer,Sphere
Autumn,Other
Autumn,Sphere
Spring,Triangle
Spring,Light
Summer,Other
Autumn,Cigar
Autumn,Triangle
Autumn,Formation
Spring,Other
Spring,Formation
Spring,Diamond
Autumn,Other
Summer,Circle
Winter,Circle
Summer,Sphere
Winter,Light
Spring,Rectangle
Winter,Light
Summer,Circle
Autumn,Diamond
Winter,Changing
Summer,Disk
Summer,Light
Autumn,Sphere
Spring,Rectangle
Autumn,Triangle
Summer,Sphere
Spring,Unknown
Spring,Light
Summer,Fireball
Autumn,Oval
Autumn,Other
Autumn,Triangle
Autumn,Oval
Autumn,Light
Autumn,Light
Autumn,Unknown
Autumn,Diamond
Autumn,Light
Autumn,Light
Autumn,Light
Autumn,Formation
Autumn,Disk
Autumn,Light
Autumn,Sphere
Autumn,Cigar
Autumn,Unknown
Autumn,Unknown
Autumn,Triangle
Autumn,Other
Autumn,Light
Autumn,Light
Autumn,Triangle
Autumn,Diamond
Autumn,Other
Autumn,Disk
Autumn,Disk
Autumn,Cigar
Autumn,Light
Autumn,Oval
Autumn,Unknown
Autumn,Fireball
Autumn,Light
Autumn,Circle
Autumn,Other
Autumn,Other
Autumn,Fireball
Autumn,Fireball
Autumn,Other
Autumn,Cylinder
Autumn,Triangle
Autumn,Fireball
Autumn,Cylinder
Autumn,Fireball
Autumn,Unknown
Autumn,Light
Autumn,Fireball
Autumn,Fireball
Autumn,Light
Autumn,Chevron
Autumn,Fireball
Autumn,Light
